Product Number ('SKU'),Specific Product Name,Brand,Price Range,General Product Name (productId),Product Category,Product Link,Affiliate Link,isDefault?,isRecommended?
CC-1,Tolerance Extremely Gentle Cleanser Lotion ,Avene,$20-35,Creamy Cleanser,Cleanser,https://www.amazon.com/Eau-Thermale-Tolerance-Extremely-Hypersensitive/dp/B08XYV6K6F/ref=sr_1_30?dib=eyJ2IjoiMSJ9.cOEQzj9G5fnxopZVBw1PqtH-19-ZfriQ7x4TAivBQDuU157tzUdGXbIVU45J4PB_bnSNqjbIlX-D66ZToX7Xj1F-CACdLAEEQXrRgcdhT-M3bMUVKjV5H1ZMP_46RAZRfK0zqKh3JzjePti0tfEqO02xF7BoEhb_Gan6wS1bvEn5_yFpBviOlzsNkgcHr8pCs4EHInsRCVtA0uzB3KtRXO3eNS2UK9UclAtKLP4RzTmL2YViUpoA2YvIIxyNpDDLv_hmZO6ZV6YmfQjiOvw64luk1BqG4O7qnouc-DG-6C8.HG-knR7spnm677W3ik9h8gpuJBSN7FFa1QgcFduSrBQ&dib_tag=se&hvadid=676234028071&hvdev=c&hvexpln=0&hvlocphy=9060360&hvnetw=g&hvocijid=17769831876553399831--&hvqmt=b&hvrand=17769831876553399831&hvtargid=kwd-371515554620&hydadcr=22973_13497896&keywords=skincare+avene&mcid=14e155a60a6c32b094348d6bf5e9ed3f&qid=1761714147&sr=8-30,https://amzn.to/3WqriT1,FALSE,FALSE
CC-2,Gleanser,Prequel Skin,$10-20,Creamy Cleanser,Cleanser,https://www.amazon.com/Prequel-Skin-Non-Drying-Moisturizing-Unscented/dp/B0DC82SX9F/ref=sr_1_1_sspa?crid=3VIQCM68QX1GG&dib=eyJ2IjoiMSJ9.lPq3cjhLn6QwpPpieDLY1YqL-nIUJ-N0YBwO4Gn1mipliFURnGk1IeBse2oKiXr4yRJx_qfsPmKChvQlFPZLa0zUJAEQs-e0Q3PGrSFdzsomLu1urBwZ1Bum-ZvpmqP5lcMZ5E_rEnGkfj9a7w-umEcQAST-58YiFJTEoG8RUePWpbhur1ydSN-M-6j4kRUr_ZMHFzqdzDCzIi_7CCOZSoS3pRhFCE9aX_1uUKEdzVcTCzfGI08xHuyXACCKcBATVr9r1FVw8AoV-oSnkIrrzgkVn_34wCW1-4bkFeJ4N6E.-fNQLRvOptbPQUGg7RThXnly7luzUMCQYuGc6Je3ucY&dib_tag=se&keywords=gleanser&qid=1761715345&rdc=1&sprefix=gleanse%2Caps%2C215&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,https://amzn.to/47e1qjn,FALSE,FALSE
CC-3,Toleriane Dermo Facial Cleanser,LaRoche Posay,$20-35,Creamy Cleanser,Cleanser,https://www.amazon.com/Roche-Posay-Toleriane-Cleanser-Makeup-Remover/dp/B000IOBEG2/ref=sr_1_1?dib=eyJ2IjoiMSJ9.7uznqIaExawiZVYhj27GYNxxJwp4opI3RdfKwtYkyfPEtUj21kBjHQD1_q9zDKePbiOaU4-6rzZSmF_38D8hExnzYV6IM0v97EP7PJ3dBMx1Loc8_b7Q5O0WJzdxdiGWTMq-QTE3LrrhAS4ru8QRql-Vdvz4gKppAPjo9n_EMpc6G34K5n0wmZypjukDV0HLGzHTxCyA6kGF_2ulO1wgGCG-JNVbG9P2ApsIkiRxKNpVd6G2G-iKoXifO_TRJ37fckknbQ57t_SjSPKa0oVOCr5-pyTXaqY3vctJeqGqwaU.4N8hp6_0wERJSAqzuNMn6pXTOSQqNAbwXkarFK3lCAo&dib_tag=se&hvadid=776873698513&hvdev=c&hvexpln=0&hvlocphy=9060360&hvnetw=g&hvocijid=1484089373841188025--&hvqmt=e&hvrand=1484089373841188025&hvtargid=kwd-458575985734&hydadcr=27507_14904106&keywords=la+roche-posay+toleriane+dermo&mcid=f9a327a8f0b835238b11b848bb07f4fb&qid=1761715199&sr=8-1,https://amzn.to/43069To,TRUE,FALSE
CC-4,Toleriane Hydrating Gentle Cleanser,Laroche Posay,$10-20,Creamy Cleanser,Cleanser,https://www.dermstore.com/p/la-roche-posay-toleriane-hydrating-gentle-cleanser-400ml/11429066,https://amzn.to/42HmhZQ,FALSE,FALSE
CC-5,TrueCider Creamy Face Cleanser for Sensitive Skin,Cheryl Lee MD Sensitive Skincare,$35-65,Creamy Cleanser,Cleanser,https://cherylleemd.com/products/truecider-creamy-face-cleanser,https://amzn.to/4hdqrP7,FALSE,FALSE
CC-6,UltraCalming Cleanser,Dermalogica,$65+,Creamy Cleanser,Cleanser,https://www.dermalogica.com/products/ultracalming-cleanser?variant=36070254936216&redirect=false&igaag=&igaat=pla&igacm=17674125984&igacr=&igakw=&igamt=&igant=x&g_acctid=529-936-8876&g_adgroupid=&g_adid=&g_adtype=none&g_campaign=Performance-Max_Cleansers_CN_GFF&g_campaignid=17674125984&g_keyword=&g_keywordid=&g_network=x&g_type=shopping&gclsrc=aw.ds&utm_campaign=Performance-Max_Cleansers_CN_GFF&campaign_category=pmax&gad_source=1&gad_campaignid=17675039422&gbraid=0AAAAADvbnb-43n7c66VdW02zwCbTvfGJB&gclid=CjwKCAjw3tzHBhBREiwAlMJoUtJIytDh_pTy8VqeahsSPk17XCcabvUD60oBTojRpH-q3ykYQNBjaxoCC70QAvD_BwE&selling_plan=3950411928,https://amzn.to/4owCkC2,FALSE,TRUE
GC-1,Gleanser,Prequel Skin,$10-20,Gel Cleanser,Cleanser,https://www.amazon.com/Prequel-Skin-Non-Drying-Moisturizing-Unscented/dp/B0DC82SX9F/ref=sr_1_1_sspa?crid=3VIQCM68QX1GG&dib=eyJ2IjoiMSJ9.lPq3cjhLn6QwpPpieDLY1YqL-nIUJ-N0YBwO4Gn1mipliFURnGk1IeBse2oKiXr4yRJx_qfsPmKChvQlFPZLa0zUJAEQs-e0Q3PGrSFdzsomLu1urBwZ1Bum-ZvpmqP5lcMZ5E_rEnGkfj9a7w-umEcQAST-58YiFJTEoG8RUePWpbhur1ydSN-M-6j4kRUr_ZMHFzqdzDCzIi_7CCOZSoS3pRhFCE9aX_1uUKEdzVcTCzfGI08xHuyXACCKcBATVr9r1FVw8AoV-oSnkIrrzgkVn_34wCW1-4bkFeJ4N6E.-fNQLRvOptbPQUGg7RThXnly7luzUMCQYuGc6Je3ucY&dib_tag=se&keywords=gleanser&qid=1761715345&rdc=1&sprefix=gleanse%2Caps%2C215&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,https://amzn.to/47e1qjn,FALSE,TRUE
GC-2,Hydrating Facial Cleanser,Cerave,$10-20,Gel Cleanser,Cleanser,https://www.cerave.com/skincare/cleansers/hydrating-facial-cleanser,https://amzn.to/4qcsrLq,TRUE,FALSE
GC-3,Toleriane Hydrating Gentle Cleanser,Laroche Posay,$10-20,Gel Cleanser,Cleanser,https://www.laroche-posay.us/our-products/face/face-wash/toleriane-hydrating-gentle-facial-cleanser-tolerianehydratinggentlefacialcleanser.html,https://amzn.to/42HmhZQ,FALSE,FALSE
GC-4,Foaming Facial Cleanser,Cerave,$10-20,Gel Cleanser,Cleanser,https://www.amazon.com/CeraVe-Hyaluronic-Ceramides-Niacinamide-Non-Drying/dp/B07RJ18VMF/ref=sr_1_1?crid=39DP0YOPK7T2W&dib=eyJ2IjoiMSJ9.Q7vbUy9ZNlOvxPxTpxYUMQVsaFf75dlKgEguMoycJfCTvvkXRUr_XH2B29aor0xWkO56gMqZbtDAaDo5k_j1DIL8hQFfwgYLqsCbgMe7HrclUH8I45gmkqd-R9FxSc_75XqagoU8daSQZs4UCeEflZcgxBwgjniioL5YIQIYYoPlUfF_h04j9WZCSetU2LwLOP4a7pXYAwaYf6B8oGAXptZDOsvCXsZX768s39qDgXqaPCtu8WLJ35Apj2_ygCloVoppQy99oubzQ4gUjPbj4L8DcrgCw5_KV6B81JDt9uY.NQBfPkFQdtanKirYPsnTUqSCp-URfcR6wT4vq4rP1zc&dib_tag=se&keywords=cerave%2Bfoaming&qid=1761104603&sprefix=cerave%2Bfoaming%2Caps%2C189&sr=8-1&th=1,https://amzn.to/48MxMmB,FALSE,FALSE
